"freight_cost_usd","line.item.insurance..usd.","shipment.mode","country","product.group","sub.classification","line.item.quantity","line.item.value","weight_kilograms","pack.price","dosage","scheduled.delivery.date","delivered.to.client.date","shipment_mode_encoded","country_encoded","product_group_encoded","sub_classification_encoded","scheduled_delivery_date","delivered_to_client_date","delivery_time","delivery_category"
18614.72,148.38,"Air","Vietnam","ARV","Adult",38640,92736,2719,2.4,150,"19-Sep-08","19-Sep-08",1,41,3,2,2008-09-19,2008-09-19,0,"On Time"
1755.87,2.48,"Air","Nigeria","ACT","ACT",34,1547.68,115,45.52,20,"25-Feb-09","9-Sep-08",1,29,1,1,2009-02-25,2008-09-09,-169,"Early"
10179.16,97.44,"Air","Vietnam","ARV","Adult",42000,60900,2600,1.45,30,"8-Oct-08","8-Oct-08",1,41,3,2,2008-10-08,2008-10-08,0,"On Time"
5869.655,1.11,"Truck","South Africa","ARV","Pediatric",50,696.5,1047,13.93,10,"10-Jul-08","8-Jul-08",4,34,3,6,2008-07-10,2008-07-08,-2,"Early"
4686.88,335.54,"Air","Vietnam","ARV","Adult",16800,171192,1224,10.19,600,"27-Nov-08","27-Nov-08",1,41,3,2,2008-11-27,2008-11-27,0,"On Time"
11062.05,634.95,"Air","Zambia","HRDT","HIV test",4500,323955,1053,71.99,0,"20-Oct-08","20-Oct-08",1,42,4,3,2008-10-20,2008-10-20,0,"On Time"
5869.655,0.51,"Air","Namibia","HRDT","HIV test",10,320,1047,32,0,"18-Sep-08","18-Sep-08",1,28,4,3,2008-09-18,2008-09-18,0,"On Time"
11298.13,60.8,"Air","Côte d'Ivoire","HRDT","HIV test",500,38000,562,76,0,"2-Oct-08","2-Oct-08",1,10,4,3,2008-10-02,2008-10-02,0,"On Time"
5869.655,0.89,"Air","Nigeria","ARV","Adult",9,453.6,1047,50.4,600,"10-Mar-09","8-Apr-09",1,29,3,2,2009-03-10,2009-04-08,29,"Late"
2698.04,21.17,"Air","Namibia","HRDT","HIV test",150,10798.5,46,71.99,0,"29-Oct-08","29-Oct-08",1,28,4,3,2008-10-29,2008-10-29,0,"On Time"
1122.24,12.5,"Air","Zambia","HRDT","HIV test",319,6380,100,20,0,"23-Jan-09","23-Jan-09",1,42,4,3,2009-01-23,2009-01-23,0,"On Time"
5869.655,3.59,"Truck","South Africa","ARV","Adult",80,1830.4,1047,22.88,300,"17-May-09","9-Oct-08",4,34,3,2,2009-05-17,2008-10-09,-220,"Early"
5869.655,5.38,"Truck","South Africa","ARV","Adult",120,2745.6,1047,22.88,300,"17-May-09","17-May-09",4,34,3,2,2009-05-17,2009-05-17,0,"On Time"
5869.655,1.68,"Truck","South Africa","ARV","Pediatric",600,858,1047,1.43,1,"17-May-09","9-Oct-08",4,34,3,6,2009-05-17,2008-10-09,-220,"Early"
5869.655,0.18,"Truck","South Africa","ARV","Pediatric",7,91.35,1047,13.05,100,"17-May-09","9-Oct-08",4,34,3,6,2009-05-17,2008-10-09,-220,"Early"
2426.05,0.96,"Air","Vietnam","ARV","Adult",400,600,83,1.5,15,"22-Jan-08","22-Jan-08",1,41,3,2,2008-01-22,2008-01-22,0,"On Time"
5869.655,2.7,"Truck","South Africa","ARV","Pediatric",40,1375.6,1047,34.39,80,"17-May-09","9-Oct-08",4,34,3,6,2009-05-17,2008-10-09,-220,"Early"
5869.655,7.94,"Air","Guyana","MRDT","Malaria",108,4050,1047,37.5,0,"6-Feb-09","6-Feb-09",1,16,5,5,2009-02-06,2009-02-06,0,"On Time"
25405.22,5.35,"Air","Côte d'Ivoire","ANTM","Malaria",140,2731.4,5209,19.51,600,"2-Mar-09","2-Mar-09",1,10,2,5,2009-03-02,2009-03-02,0,"On Time"
23914.8,357.5,"Air","Mozambique","HRDT","HIV test",5700,182400,1906,32,0,"23-Mar-09","23-Mar-09",1,27,4,3,2009-03-23,2009-03-23,0,"On Time"
12835.2,100.65,"Air","Vietnam","ARV","Adult",5964,51350.04,3509,8.61,150,"10-Apr-09","10-Apr-09",1,41,3,2,2009-04-10,2009-04-10,0,"On Time"
5869.655,98.78,"Air","Vietnam","ARV","Adult",21000,50400,1047,2.4,150,"10-Apr-09","10-Apr-09",1,41,3,2,2009-04-10,2009-04-10,0,"On Time"
4225.93,142.81,"Air","Vietnam","ARV","Adult",10560,72864,924,6.9,150,"23-Mar-09","23-Mar-09",1,41,3,2,2009-03-23,2009-03-23,0,"On Time"
892.5,39.69,"Air","Vietnam","ARV","Adult",2352,20250.72,211,8.61,150,"16-Mar-09","16-Mar-09",1,41,3,2,2009-03-16,2009-03-16,0,"On Time"
6668.61,42.21,"Air","Tanzania","ARV","Pediatric",524,21536.4,644,41.1,80,"28-May-09","28-May-09",1,38,3,6,2009-05-28,2009-05-28,0,"On Time"
5869.655,42.19,"Air","Tanzania","ARV","Pediatric",2094,21526.32,237,10.28,100,"4-May-09","4-May-09",1,38,3,6,2009-05-04,2009-05-04,0,"On Time"
12595.81,363.78,"Air","Rwanda","HRDT","HIV test",8249,185602.5,2800,22.5,0,"28-Apr-09","28-Apr-09",1,31,4,3,2009-04-28,2009-04-28,0,"On Time"
463,9.28,"Air","Nigeria","ARV","Adult",200,4734,11,23.67,400,"30-Sep-09","30-Sep-09",1,29,3,2,2009-09-30,2009-09-30,0,"On Time"
5869.655,0.79,"Air","Haiti","ARV","Pediatric",32,402.88,1047,12.59,2,"31-Mar-09","31-Mar-09",1,17,3,6,2009-03-31,2009-03-31,0,"On Time"
893.22,0.93,"Air","Haiti","ARV","Pediatric",46,472.88,10,10.28,100,"15-Apr-09","15-Apr-09",1,17,3,6,2009-04-15,2009-04-15,0,"On Time"
5869.655,93.14,"Air","South Africa","ARV","Adult",3025,47522.75,1047,15.71,600,"31-Mar-09","2-Dec-08",1,34,3,2,2009-03-31,2008-12-02,-119,"Early"
5869.655,97.69,"Air","South Africa","ARV","Adult",3500,49840,1047,14.24,600,"7-Apr-09","3-Dec-08",1,34,3,2,2009-04-07,2008-12-03,-125,"Early"
5869.655,7.03,"Air","South Africa","ARV","Pediatric",1008,3588.48,1047,3.56,10,"7-Apr-09","3-Dec-08",1,34,3,6,2009-04-07,2008-12-03,-125,"Early"
5869.655,2.26,"Air","South Africa","ARV","Pediatric",960,1152,1047,1.2,1,"5-May-09","23-Dec-08",1,34,3,6,2009-05-05,2008-12-23,-133,"Early"
5869.655,20.6,"Air","South Africa","ARV","Pediatric",1800,10512,1047,5.84,10,"12-May-09","30-Dec-08",1,34,3,6,2009-05-12,2008-12-30,-133,"Early"
5869.655,6.63,"Air","South Africa","ARV","Adult",1200,3384,1047,2.82,30,"31-Mar-09","21-Nov-08",1,34,3,2,2009-03-31,2008-11-21,-130,"Early"
5869.655,3.83,"Air","South Africa","ARV","Pediatric",346,1954.9,1047,5.65,10,"25-Jun-09","21-Apr-09",1,34,3,6,2009-06-25,2009-04-21,-65,"Early"
5869.655,32.62,"Truck","South Africa","ARV","Pediatric",5300,16642,1047,3.14,50,"25-Jun-09","5-Jun-09",4,34,3,6,2009-06-25,2009-06-05,-20,"Early"
5869.655,3.79,"Air","South Africa","ARV","Pediatric",342,1932.3,1047,5.65,10,"25-Jun-09","17-Jun-09",1,34,3,6,2009-06-25,2009-06-17,-8,"Early"
5869.655,20.9,"Truck","South Africa","ARV","Adult",2700,10665,1047,3.95,15,"19-Aug-09","19-Aug-09",4,34,3,2,2009-08-19,2009-08-19,0,"On Time"
5869.655,263.4,"Air","South Africa","ARV","Adult",3735,134385.3,1047,35.98,200,"25-Jun-09","14-Apr-09",1,34,3,2,2009-06-25,2009-04-14,-72,"Early"
5869.655,158.05,"Air","South Africa","ARV","Adult",6000,80640,1047,13.44,300,"25-Jun-09","29-Apr-09",1,34,3,2,2009-06-25,2009-04-29,-57,"Early"
5869.655,68.63,"Air","South Africa","ARV","Adult",11672,35016,1047,3,30,"25-Jun-09","20-Apr-09",1,34,3,2,2009-06-25,2009-04-20,-66,"Early"
1172.11,13.72,"Air","Botswana","HRDT","HIV test",20,7000,48,350,0,"13-Nov-09","13-Nov-09",1,5,4,3,2009-11-13,2009-11-13,0,"On Time"
14806.48,824.89,"Air","Côte d'Ivoire","ARV","Adult",10240,420864,2523,41.1,200,"30-Jun-09","30-Jun-09",1,10,3,2,2009-06-30,2009-06-30,0,"On Time"
7642.97,30.07,"Air","Côte d'Ivoire","ARV","Adult",400,15344,175,38.36,100,"22-Jul-09","22-Jul-09",1,10,3,2,2009-07-22,2009-07-22,0,"On Time"
5869.655,2.12,"Truck","South Africa","ARV","Pediatric",30,1080,1047,36,80,"31-Jul-09","21-Apr-09",4,34,3,6,2009-07-31,2009-04-21,-101,"Early"
5869.655,5.52,"Truck","South Africa","ARV","Adult",80,2816,1047,35.2,300,"15-May-09","17-Apr-09",4,34,3,2,2009-05-15,2009-04-17,-28,"Early"
3134.85,38.75,"Truck","South Africa","ARV","Adult",1000,19770,1047,19.77,300,"15-May-09","23-Apr-09",4,34,3,2,2009-05-15,2009-04-23,-22,"Early"
3128.19,41.16,"Air","Haiti","HRDT","HIV test",60,21000,144,350,0,"16-Sep-09","16-Sep-09",1,17,4,3,2009-09-16,2009-09-16,0,"On Time"
16835.31,1176,"Air","Kenya","HRDT","HIV test",7500,6e+05,2215,80,0,"10-Jul-09","10-Jul-09",1,19,4,3,2009-07-10,2009-07-10,0,"On Time"
24514.33,1002.74,"Air","Nigeria","HRDT","HIV test",6395,511600,1915,80,0,"18-Aug-09","18-Aug-09",1,29,4,3,2009-08-18,2009-08-18,0,"On Time"
37404.74,757.31,"Air","Rwanda","ARV","Adult",55356,386384.88,4482,6.98,600,"25-Jul-09","25-Jul-09",1,31,3,2,2009-07-25,2009-07-25,0,"On Time"
8074.03,215.6,"Air","Côte d'Ivoire","HRDT","HIV test",1000,110000,1101,110,0,"15-Sep-09","15-Sep-09",1,10,4,3,2009-09-15,2009-09-15,0,"On Time"
